Convergence,,,,
,,,,
Axis 1 - Measures for the adaptation of the cummunity fishing fleet,,,,
,,,,
Beneficiary,Project title, EFF Grant , MMO Grant ,Ref
Silver Dawn Fishing Ltd,Silver Dawn  Safety Project,£468.00,£156.00,FEF0002
A N Other,Sunshine FY826,"£1,468.80",£489.60,FEF0028
A N Other,Boat - Springtide Insulated Bins,£571.50,£190.50,FEF0186
A N Other,Fish Traps,£626.18,£208.73,FEF0071
Crystal Sea Fishing,Crystal Sea Nozzle,"£15,750.00","£5,250.00",FEF0078
A N Other,Decommissioning,"£30,878.40","£46,317.60",FEF0099
A N Other,Decommissioning,"£5,600.00","£8,400.00",FEF0116
A N Other,Beulah - Improve quality and working conditions,"£3,975.00","£1,325.00",FEF0210
MFV Su Jean,Decommissioning,"£31,140.00","£46,710.00",FEF0126
A N Other,Decommissioning,"£14,000.00","£21,000.00",FEF0128
A N Other,Decommissioning,"£21,241.84","£31,862.75",FEF0145
J & M Trawlers,Decommissioning,"£18,489.60","£27,734.40",FEF0146
A N Other,Mizzen/Gantry on small coastal fishing vessel,£633.53,£211.18,FEF0172
A N Other,Decommissioning,"£25,200.00","£37,800.00",FEF0199
A N Other,Decommissioning,"£16,033.20","£24,049.80",FEF0202
Bridie May Ltd,Improvement to FV Myross Mist,"£10,125.00","£3,375.00",FEF0681
A N Other,Insulated Fish Containers,£457.20,£152.40,FEF0227
A N Other,Jigging Machines,"£2,071.33",£690.44,FEF0228
Fishing  Boat  ''Grandad'' - P Lapskas,Insulated Ice/fish Bins,£451.26,£150.42,FEF0230
A N Other,Insulation Bins,£546.48,£182.16,FEF0231
A N Other,Insulated Fish bins,£414.00,£138.00,FEF0234
Bridie May Ltd,Insulated Bins,£378.90,£126.30,FEF0235
K.S.Matthews Business,Belitronic Jigging Reels,"£2,114.08",£704.69,FEF0250
Scorpio,Scorpio Insulated Ice Bin Project,£472.50,£157.50,FEF0251
A N Other,Tegan P953,"£2,017.20",£672.40,FEF0252
A N Other,Re - Engine,"£6,146.40","£2,048.80",FEF0255
A N Other,Engine Replacement,"£1,173.00",£391.00,FEF0497
Polperro Fishing Company Limited,karen marie upgrade,"£4,146.90","£1,382.30",FEF1196
Fern Pit Cafe and Ferry,Automatic Jigging Machines,"£2,428.65",£809.55,FEF0300
A N Other,Insulated Fish Containers,£610.20,£203.40,FEF0318
A.F Trevarton & J Blackmore Business,Ring Net,"£20,158.54","£6,719.52",FEF0368
Bon Accord Fishing,Vessel Improvements,"£6,992.60","£6,992.60",FEF0373
Sarah-Beth,Sarah-Beth Upgrade,"£8,371.35","£2,790.45",FEF0380
Tallulah Fish,Tallulah Fish,£491.09,£163.70,FEF0383
A N Other,Treen : Line Fishing,£977.40,£325.80,FEF0386
A N Other,New Ring Net,"£11,039.40","£3,679.80",FEF0396
Scorpio,Replacing Scorpio Engine,"£3,044.90","£1,014.96",FEF0408
Cornish Tuna.com Ltd,Cornish Albacore Tuna Trolling Project,"£14,989.50","£4,996.50",FEF0411
ML Brokenshire,M Brokenshire - Cornish Ring Netting,"£12,922.65","£4,307.55",FEF0416
MM Fishing Partnership,Wheelhouse Upgrade,"£9,452.33","£3,150.78",FEF0418
Heather Anne,Heather Anne 2010,"£24,579.45","£8,193.15",FEF0420
The Fresh & Freeze Co Ltd,White Heather Conversion,"£29,579.70","£9,859.90",FEF0422
RJ Thomas Fishing,Sharicmar Re Engine,"£6,825.00","£2,275.00",FEF0445
TCQ McClure,Dyneema Warps,"£1,958.08",£652.69,FEF0446
A N Other,Mary D,"£7,056.00","£2,352.00",FEF0486
Bold Venture Fishing,Re - Engine,"£6,287.10","£2,095.70",FEF0499
Bold Venture Fishing,Crew Comfort / Safety,"£5,774.40","£1,924.80",FEF0500
